id,text,flesch_reading_ease_textstat,flesch_kincaid_grade_textstat,gunning_fog_textstat,smog_index_textstat,automated_readability_index_textstat,coleman_liau_index_textstat,linsear_write_formula_textstat,dale_chall_readability_score_textstat,readability_consensus_textstat,bias_label,bias_label_score,cognitive_label,cognitice_label_score
11,"Structures of the promoter-bound respiratory syncytial virus polymerase The respiratory syncytial virus (RSV) polymerase is a multifunctional RNA-dependent RNA polymerase composed of the large (L) protein and the phosphoprotein (P). It transcribes the RNA genome into ten viral mRNAs and replicates full-length viral genomic and antigenomic RNAs1. The RSV polymerase initiates RNA synthesis by binding to the conserved 3′-terminal RNA promoters of the genome or antigenome2. However, the lack of a structure of the RSV polymerase bound to the RNA promoter has impeded the mechanistic understanding of RSV RNA synthesis. Here we report cryogenic electron microscopy structures of the RSV polymerase bound to its genomic and antigenomic viral RNA promoters, representing two of the first structures of an RNA-dependent RNA polymerase in complex with its RNA promoters in non-segmented negative-sense RNA viruses. The overall structures of the promoter-bound RSV polymerases are similar to that of the unbound (apo) polymerase. Our structures illustrate the interactions between the RSV polymerase and the RNA promoters and provide the structural basis for the initiation of RNA synthesis at positions 1 and 3 of the RSV promoters. These structures offer a deeper understanding of the pre-initiation state of the RSV polymerase and could aid in antiviral research against RSV.",37.13,14.4,15.1,16.2,18.4,15.5,14.2,9.78,16.0,NEUTRAL,0.6765034794807434,LABELING,0.48593881726264954
12,"Cytoneme-mediated transport of active Wnt5b–Ror2 complexes in zebrafish Chemical signalling is the primary means by which cells communicate in the embryo. The underlying principle refers to a group of ligand-producing cells and a group of cells that respond to this signal because they express the appropriate receptors1,2. In the zebrafish embryo, Wnt5b binds to the receptor Ror2 to trigger the Wnt–planar cell polarity (PCP) signalling pathway to regulate tissue polarity and cell migration3,4. However, it remains unclear how this lipophilic ligand is transported from the source cells through the aqueous extracellular space to the target tissue. In this study, we provide evidence that Wnt5b, together with Ror2, is loaded on long protrusions called cytonemes. Our data further suggest that the active Wnt5b–Ror2 complexes form in the producing cell and are handed over from these cytonemes to the receiving cell. Then, the receiving cell has the capacity to initiate Wnt–PCP signalling, irrespective of its functional Ror2 receptor status. On the tissue level, we further show that cytoneme-dependent spreading of active Wnt5b–Ror2 affects convergence and extension in the zebrafish gastrula. We suggest that cytoneme-mediated transfer of ligand–receptor complexes is a vital mechanism for paracrine signalling. This may prompt a reevaluation of the conventional concept of characterizing responsive and non-responsive tissues solely on the basis of the expression of receptors.",32.53,14.1,14.95,15.4,17.0,15.78,13.8,10.68,15.0,BIASED,0.531593382358551,LABELING,0.5861138701438904
13,"Emergence of replication timing during early mammalian development DNA replication enables genetic inheritance across the kingdoms of life. Replication occurs with a defined temporal order known as the replication timing (RT) programme, leading to organization of the genome into early- or late-replicating regions. RT is cell-type specific, is tightly linked to the three-dimensional nuclear organization of the genome1,2 and is considered an epigenetic fingerprint3. In spite of its importance in maintaining the epigenome4, the developmental regulation of RT in mammals in vivo has not been explored. Here, using single-cell Repli-seq5, we generated genome-wide RT maps of mouse embryos from the zygote to the blastocyst stage. Our data show that RT is initially not well defined but becomes defined progressively from the 4-cell stage, coinciding with strengthening of the A and B compartments. We show that transcription contributes to the precision of the RT programme and that the difference in RT between the A and B compartments depends on RNA polymerase II at zygotic genome activation. Our data indicate that the establishment of nuclear organization precedes the acquisition of defined RT features and primes the partitioning of the genome into early- and late-replicating domains. Our work sheds light on the establishment of the epigenome at the beginning of mammalian development and reveals the organizing principles of genome organization.",30.09,15.0,16.09,16.5,17.5,15.44,14.6,10.58,15.0,BIASED,0.6894437670707703,NO DISTORTION,0.431428998708725
14,"Autonomous chemical research with large language models Transformer-based large language models are making significant strides in various fields, such as natural language processing1,2,3,4,5, biology6,7, chemistry8,9,10 and computer programming11,12. Here, we show the development and capabilities of Coscientist, an artificial intelligence system driven by GPT-4 that autonomously designs, plans and performs complex experiments by incorporating large language models empowered by tools such as internet and documentation search, code execution and experimental automation. Coscientist showcases its potential for accelerating research across six diverse tasks, including the successful reaction optimization of palladium-catalysed cross-couplings, while exhibiting advanced capabilities for (semi-)autonomous experimental design and execution. Our findings demonstrate the versatility, efficacy and explainability of artificial intelligence systems like Coscientist in advancing research.",-17.49,23.0,24.03,22.5,28.4,25.19,29.666666666666668,14.4,23.0,BIASED,0.7890497446060181,NO DISTORTION,0.7690582871437073
15,"The PfRCR complex bridges malaria parasite and erythrocyte during invasion The symptoms of malaria occur during the blood stage of infection, when parasites invade and replicate within human erythrocytes. The PfPCRCR complex1, containing PfRH5 (refs. 2,3), PfCyRPA, PfRIPR, PfCSS and PfPTRAMP, is essential for erythrocyte invasion by the deadliest human malaria parasite, Plasmodium falciparum. Invasion can be prevented by antibodies3,4,5,6 or nanobodies1 against each of these conserved proteins, making them the leading blood-stage malaria vaccine candidates. However, little is known about how PfPCRCR functions during invasion. Here we present the structure of the PfRCR complex7,8, containing PfRH5, PfCyRPA and PfRIPR, determined by cryogenic-electron microscopy. We test the hypothesis that PfRH5 opens to insert into the membrane9, instead showing that a rigid, disulfide-locked PfRH5 can mediate efficient erythrocyte invasion. We show, through modelling and an erythrocyte-binding assay, that PfCyRPA-binding antibodies5 neutralize invasion through a steric mechanism. We determine the structure of PfRIPR, showing that it consists of an ordered, multidomain core flexibly linked to an elongated tail. We also show that the elongated tail of PfRIPR, which is the target of growth-neutralizing antibodies6, binds to the PfCSS–PfPTRAMP complex on the parasite membrane. A modular PfRIPR is therefore linked to the merozoite membrane through an elongated tail, and its structured core presents PfCyRPA and PfRH5 to interact with erythrocyte receptors. This provides fresh insight into the molecular mechanism of erythrocyte invasion and opens the way to new approaches in rational vaccine design.",34.26,13.5,14.17,16.1,17.3,17.0,12.666666666666666,10.81,17.0,BIASED,0.5144510269165039,LABELING,0.4475184381008148
16,"Three-dimensional atomic structure and local chemical order of medium- and high-entropy nanoalloys Medium- and high-entropy alloys (M/HEAs) mix several principal elements with near-equiatomic composition and represent a model-shift strategy for designing previously unknown materials in metallurgy1,2,3,4,5,6,7,8, catalysis9,10,11,12,13,14 and other fields15,16,17,18. One of the core hypotheses of M/HEAs is lattice distortion5,19,20, which has been investigated by different numerical and experimental techniques21,22,23,24,25,26. However, determining the three-dimensional (3D) lattice distortion in M/HEAs remains a challenge. Moreover, the presumed random elemental mixing in M/HEAs has been questioned by X-ray and neutron studies27, atomistic simulations28,29,30, energy dispersive spectroscopy31,32 and electron diffraction33,34, which suggest the existence of local chemical order in M/HEAs. However, direct experimental observation of the 3D local chemical order has been difficult because energy dispersive spectroscopy integrates the composition of atomic columns along the zone axes7,32,34 and diffuse electron reflections may originate from planar defects instead of local chemical order35. Here we determine the 3D atomic positions of M/HEA nanoparticles using atomic electron tomography36 and quantitatively characterize the local lattice distortion, strain tensor, twin boundaries, dislocation cores and chemical short-range order (CSRO). We find that the high-entropy alloys have larger local lattice distortion and more heterogeneous strain than the medium-entropy alloys and that strain is correlated to CSRO. We also observe CSRO-mediated twinning in the medium-entropy alloys, that is, twinning occurs in energetically unfavoured CSRO regions but not in energetically favoured CSRO ones, which represents, to our knowledge, the first experimental observation of correlating local chemical order with structural defects in any material. We expect that this work will not only expand our fundamental understanding of this important class of materials but also provide the foundation for tailoring M/HEA properties through engineering lattice distortion and local chemical order.",5.46,20.4,19.7,20.1,26.1,20.66,20.5,12.69,21.0,NEUTRAL,0.627981424331665,LABELING,0.4354076087474823
17,"Cryo-EM structures of PP2A:B55–FAM122A and PP2A:B55–ARPP19 Progression through the cell cycle is controlled by regulated and abrupt changes in phosphorylation1. Mitotic entry is initiated by increased phosphorylation of mitotic proteins, a process driven by kinases2, whereas mitotic exit is achieved by counteracting dephosphorylation, a process driven by phosphatases, especially PP2A:B553. Although the role of kinases in mitotic entry is well established, recent data have shown that mitosis is only successfully initiated when the counterbalancing phosphatases are also inhibited4. Inhibition of PP2A:B55 is achieved by the intrinsically disordered proteins ARPP195,6 and FAM122A7. Despite their critical roles in mitosis, the mechanisms by which they achieve PP2A:B55 inhibition is unknown. Here, we report the single-particle cryo-electron microscopy structures of PP2A:B55 bound to phosphorylated ARPP19 and FAM122A. Consistent with our complementary NMR spectroscopy studies, both intrinsically disordered proteins bind PP2A:B55, but do so in highly distinct manners, leveraging multiple distinct binding sites on B55. Our extensive structural, biophysical and biochemical data explain how substrates and inhibitors are recruited to PP2A:B55 and provide a molecular roadmap for the development of therapeutic interventions for PP2A:B55-related diseases.",23.26,15.6,17.0,16.7,20.8,20.02,15.2,12.03,17.0,NEUTRAL,0.5260317325592041,LABELING,0.49254661798477173
18,"Discovery of a structural class of antibiotics with explainable deep learning The discovery of novel structural classes of antibiotics is urgently needed to address the ongoing antibiotic resistance crisis1,2,3,4,5,6,7,8,9. Deep learning approaches have aided in exploring chemical spaces1,10,11,12,13,14,15; these typically use black box models and do not provide chemical insights. Here we reasoned that the chemical substructures associated with antibiotic activity learned by neural network models can be identified and used to predict structural classes of antibiotics. We tested this hypothesis by developing an explainable, substructure-based approach for the efficient, deep learning-guided exploration of chemical spaces. We determined the antibiotic activities and human cell cytotoxicity profiles of 39,312 compounds and applied ensembles of graph neural networks to predict antibiotic activity and cytotoxicity for 12,076,365 compounds. Using explainable graph algorithms, we identified substructure-based rationales for compounds with high predicted antibiotic activity and low predicted cytotoxicity. We empirically tested 283 compounds and found that compounds exhibiting antibiotic activity against Staphylococcus aureus were enriched in putative structural classes arising from rationales. Of these structural classes of compounds, one is selective against methicillin-resistant S. aureus (MRSA) and vancomycin-resistant enterococci, evades substantial resistance, and reduces bacterial titres in mouse models of MRSA skin and systemic thigh infection. Our approach enables the deep learning-guided discovery of structural classes of antibiotics and demonstrates that machine learning models in drug discovery can be explainable, providing insights into the chemical substructures that underlie selective antibiotic activity.",5.12,18.4,16.23,18.7,22.4,21.24,16.2,11.47,19.0,NEUTRAL,0.5381584763526917,LABELING,0.4572543799877167
19,"Designer Phospholipid Capping Ligands for Soft Metal Halide Nanocrystals The success of colloidal semiconductor nanocrystals (NCs) in science and optoelectronics is inextricable from their surfaces. The functionalization of lead halide perovskite (LHP) NCs1–5 poses a formidable challenge due to their structural lability, unlike the well-established covalent ligand-capping of conventional semiconductor NCs6,7. We posited that the vast and facile molecular engineering of phospholipids as zwitterionic surfactants can deliver highly customized surface chemistries for metal halide NCs. Molecular dynamics simulations inferred that ligand-NC surface affinity is primarily governed by the structure of the zwitterionic headgroup, particularly by the geometric fitness of the anionic and cationic moieties into the surface lattice sites, as corroborated by the NMR and FTIR data. Lattice-matched primary-ammonium phospholipids enhance the structural and colloidal integrity of hybrid organic-inorganic LHPs (FAPbBr3 and MAPbBr3, FA-formamidinium; MA-methylammonium) and lead-free metal halide NCs. The molecular structure of the organic ligand tail governs the long-term colloidal stability and compatibility with solvents of diverse polarity, from hydrocarbons to acetone and alcohols. These NCs exhibit photoluminescence quantum yield (PL QY) above 96% in solution and solids and minimal PL intermittency at the single particle level with an average ON fraction as high as 94%, as well as bright and high-purity (ca. 95%) single-photon emission.",11.25,18.2,19.25,17.8,21.9,19.21,19.5,13.12,20.0,NEUTRAL,0.5644331574440002,LABELING,0.3785884976387024
20,"The energetic and allosteric landscape for KRAS inhibition Thousands of proteins have now been genetically-validated as therapeutic targets in hundreds of human diseases1. However, very few have actually been successfully targeted and many are considered ‘undruggable’. This is particularly true for proteins that function via protein-protein interactions: direct inhibition of binding interfaces is difficult, requiring the identification of allosteric sites. However, most proteins have no known allosteric sites and a comprehensive allosteric map does not exist for any protein. Here we address this shortcoming by charting multiple global atlases of inhibitory allosteric communication in KRAS. We quantified the impact of >26,000 mutations on the folding of KRAS and its binding to six interaction partners. Genetic interactions in double mutants allowed us to perform biophysical measurements at scale, inferring >22,000 causal free energy changes. These energy landscapes quantify how mutations tune the binding specificity of a signalling protein and map the inhibitory allosteric sites for an important therapeutic target. Allosteric propagation is particularly effective across the central beta sheet of KRAS and multiple surface pockets are genetically-validated as allosterically active, including a distal pocket in the C-terminal lobe of the protein. Allosteric mutations typically inhibit binding to all tested effectors but they can also change the binding specificity, revealing the regulatory, evolutionary and therapeutic potential to tune pathway activation. Using the approach described here it should be possible to rapidly and comprehensively identify allosteric target sites in many proteins.",15.71,16.4,16.54,17.6,18.6,18.04,13.333333333333334,10.75,17.0,NEUTRAL,0.5820018649101257,NO DISTORTION,0.35000255703926086
21,"Country-specific net-zero strategies of the pulp and paper industry The pulp and paper industry is an important contributor to global greenhouse gas (GHG) emissions1,2. Country-specific strategies are essential for the industry to achieve net-zero emissions by 2050, given its vast heterogeneities across countries3,4. In this paper, we develop a comprehensive bottom-up assessment of net GHG emissions of the domestic paper-related sectors for 30 major countries from 1961 to 2019—about 3.2% of global anthropogenic GHG emissions from the same period5—and explore mitigation strategies through 2,160 scenarios covering key factors. Our results show significant differences across countries in terms of historical emissions evolution trends and structure. All countries can achieve net-zero emissions for their pulp and paper industry by 2050, with a single measure for most developed countries and multiple measures for most developing countries. Except for energy efficiency improvement and energy system decarbonization, tropical developing countries with abundant forest resources should prioritize sustainable forest management, while other developing countries should pay more attention to enhancing methane capture rate and reducing recycling. These insights are crucial for developing net-zero strategies tailored to each country and achieving net-zero emissions by 2050 for the pulp and paper industry.",21.43,16.3,16.73,17.4,20.3,18.51,15.0,10.54,17.0,BIASED,0.5022081136703491,NO DISTORTION,0.6350534558296204
22,"Functional and evolutionary significance of unknown genes from uncultivated taxa Many of Earth’s microbes remain uncultured and under-studied, limiting our understanding of the functional and evolutionary aspects of their genetic material, which remain largely overlooked in most metagenomic studies1. Here, we analyzed 149,842 environmental genomes from multiple habitats2–6 and compiled a curated catalog of 404,085 functionally and evolutionarily significant novel (FESNov) gene families exclusive to uncultivated prokaryotic taxa. All FESNov families span multiple species, exhibit strong signals of purifying selection, and qualify as new orthologous groups, thus nearly tripling the number of bacterial and archaeal gene families described to date. The FESNov catalog is enriched in clade-specific traits, including 1,034 novel families that can distinguish entire uncultivated phyla, classes, and orders, likely representing synapomorphies that facilitated their evolutionary divergence. Using genomic context analysis and structural alignments, we predicted functional associations for 32.4% of FESNov families, including 4,349 high-confidence associations with important biological processes. These predictions provide a valuable hypothesis-driven framework, which we employed to experimentally validate a new gene family involved in cell motility and a novel set of antimicrobial peptides. We also demonstrate that the relative abundance profiles of novel families can discriminate between environments and clinical conditions, leading to the discovery of potentially new biomarkers associated with colorectal cancer. We expect this work to enhance future metagenomics studies and expand our knowledge of the genetic repertory of uncultivated organisms.",3.09,19.2,20.5,20.1,22.7,20.6,28.33333333333333,13.05,21.0,BIASED,0.5659680962562561,NO DISTORTION,0.48475199937820435
23,"De novo design of high-affinity binders of bioactive helical peptides Many peptide hormones form an alpha-helix upon binding their receptors1–4, and sensitive detection methods for them could contribute to better clinical management of disease5. De novo protein design can now generate binders with high affinity and specificity to structured proteins6,7. However, the design of interactions between proteins and short peptides with helical propensity is an unmet challenge. Here, we describe parametric generation and deep learning-based methods for designing proteins to address this challenge. We show that by extending RFdiffusion8 to enable binder design to flexible targets, and to refining input structure models by successive noising and denoising (partial diffusion), picomolar affinity binders can be generated to helical peptide targets both by refining designs generated with other methods, or completely de novo starting from random noise distributions. To our knowledge these are the highest affinity designed binding proteins against any protein or small molecule target generated directly by computation without any experimental optimisation. The RFdiffusion designs enable the enrichment and subsequent detection of parathyroid hormone and glucagon by mass spectrometry, and the construction of bioluminescence-based protein biosensors. The ability to design binders to conformationally variable targets, and to optimise by partial diffusion both natural and designed proteins, should be broadly useful.",19.4,17.1,18.52,18.1,21.1,18.51,15.0,11.41,19.0,NEUTRAL,0.5372785329818726,NO DISTORTION,0.4710225462913513
